user_id,text,timestamp,latitude,longitude,clean_text,zone_id
148149,fire in downtown,2023-01-01 00:00:00,37.8913256594786,-122.11982266434995,fire in downtown,18.0
133822,fire in downtown,2023-01-01 00:01:00,37.261544591843126,-121.59227895385246,fire in downtown,13.0
117131,emergency in Zone A,2023-01-01 00:02:00,37.97616507104156,-122.42566001539146,emergency in zone a,1.0
197271,flood near river,2023-01-01 00:03:00,37.21717104489701,-121.74709706431912,flood near river,4.0
105884,earthquake felt,2023-01-01 00:04:00,37.8120956599819,-121.62489455016528,earthquake felt,6.0
139211,flood near river,2023-01-01 00:05:00,37.49633235629485,-122.38476010298386,flood near river,22.0
157358,earthquake felt,2023-01-01 00:06:00,37.17594489995982,-122.43435641588547,earthquake felt,39.0
151425,fire in downtown,2023-01-01 00:07:00,37.43706505929455,-122.11787144426818,fire in downtown,33.0
108184,earthquake felt,2023-01-01 00:08:00,37.51900273117788,-122.05361879794476,earthquake felt,33.0
194832,flood near river,2023-01-01 00:09:00,37.92592775929877,-122.01158923289584,flood near river,34.0
171655,fire in downtown,2023-01-01 00:10:00,37.79232014620062,-122.49393232551762,fire in downtown,20.0
103697,flood near river,2023-01-01 00:11:00,37.32826329441161,-122.16898837856374,flood near river,5.0
130209,emergency in Zone A,2023-01-01 00:12:00,37.39916286634253,-121.5359253139827,emergency in zone a,44.0
116583,fire in downtown,2023-01-01 00:13:00,37.93748832906616,-122.27158770230795,fire in downtown,40.0
125719,evacuate Zone C,2023-01-01 00:14:00,37.04900504297369,-122.1125318675551,evacuate zone c,2.0
196590,evacuate Zone C,2023-01-01 00:15:00,37.1166812400425,-121.9669071161223,evacuate zone c,14.0
122730,flood near river,2023-01-01 00:16:00,37.13297492855434,-121.93479715356446,flood near river,46.0
195819,emergency in Zone A,2023-01-01 00:17:00,37.27017124687063,-121.80678670993169,emergency in zone a,28.0
171138,emergency in Zone A,2023-01-01 00:18:00,37.06689316572864,-121.53280708928392,emergency in zone a,32.0
181137,emergency in Zone A,2023-01-01 00:19:00,37.24588326668981,-121.76095934515634,emergency in zone a,4.0
187512,fire in downtown,2023-01-01 00:20:00,37.98004626834053,-121.98907580320824,fire in downtown,34.0
169272,emergency in Zone A,2023-01-01 00:21:00,37.571556079102045,-121.51786125012906,emergency in zone a,30.0
108521,flood near river,2023-01-01 00:22:00,37.71458598832827,-122.23821694448236,flood near river,35.0
132760,emergency in Zone A,2023-01-01 00:23:00,37.02092220938228,-121.67295848169624,emergency in zone a,8.0
172231,earthquake felt,2023-01-01 00:24:00,37.94090825038094,-122.40699715378994,earthquake felt,1.0
134211,earthquake felt,2023-01-01 00:25:00,37.893958996089296,-121.94521971185004,earthquake felt,34.0
114204,flood near river,2023-01-01 00:26:00,37.36688072936465,-122.27523459298114,flood near river,49.0
129477,earthquake felt,2023-01-01 00:27:00,37.39771671457524,-122.38785178047225,earthquake felt,22.0
142756,emergency in Zone A,2023-01-01 00:28:00,37.80002140923369,-122.0648614729708,emergency in zone a,38.0
188399,flood near river,2023-01-01 00:29:00,37.91707635142281,-122.01741600899028,flood near river,34.0
131698,fire in downtown,2023-01-01 00:30:00,37.58603472669539,-122.41954063799706,fire in downtown,7.0
127884,emergency in Zone A,2023-01-01 00:31:00,37.25655357607417,-121.81987165253,emergency in zone a,28.0
109559,earthquake felt,2023-01-01 00:32:00,37.11957060849905,-122.00289257490256,earthquake felt,14.0
160194,earthquake felt,2023-01-01 00:33:00,37.54885911770687,-121.78533919167695,earthquake felt,48.0
188466,fire in downtown,2023-01-01 00:34:00,37.72568939920684,-122.39238207181756,fire in downtown,20.0
194892,flood near river,2023-01-01 00:35:00,37.07102444659038,-122.39034122279752,flood near river,9.0
111913,evacuate Zone C,2023-01-01 00:36:00,37.22303377269697,-121.83694266451285,evacuate zone c,46.0
156034,fire in downtown,2023-01-01 00:37:00,37.94446355653388,-121.84428446354268,fire in downtown,25.0
197288,flood near river,2023-01-01 00:38:00,37.2373766448588,-121.65139097683304,flood near river,13.0
116301,flood near river,2023-01-01 00:39:00,37.14326658249416,-121.96880921178598,flood near river,14.0
115453,flood near river,2023-01-01 00:40:00,37.01722362480717,-121.725490748316,flood near river,8.0
178113,fire in downtown,2023-01-01 00:41:00,37.74434919943672,-122.11467410625193,fire in downtown,38.0
140995,emergency in Zone A,2023-01-01 00:42:00,37.02206858832446,-121.80860323800664,emergency in zone a,29.0
161526,flood near river,2023-01-01 00:43:00,37.41700815677566,-122.05556401413078,flood near river,33.0
149076,evacuate Zone C,2023-01-01 00:44:00,37.01019690779904,-121.9925960307124,evacuate zone c,14.0
162214,fire in downtown,2023-01-01 00:45:00,37.57148048971141,-122.03024347669027,fire in downtown,11.0
183989,emergency in Zone A,2023-01-01 00:46:00,37.64882421076084,-121.67178653320126,emergency in zone a,19.0
161694,flood near river,2023-01-01 00:47:00,37.1741153619535,-122.49576815327998,flood near river,17.0
142038,earthquake felt,2023-01-01 00:48:00,37.77617646011788,-122.02795459396832,earthquake felt,38.0
102856,earthquake felt,2023-01-01 00:49:00,37.676926623266205,-121.64194144551588,earthquake felt,19.0
120027,fire in downtown,2023-01-01 00:50:00,37.44932784008678,-122.38638486738736,fire in downtown,22.0
167755,evacuate Zone C,2023-01-01 00:51:00,37.166323961341135,-121.87577986965194,evacuate zone c,46.0
155603,emergency in Zone A,2023-01-01 00:52:00,37.01738413953558,-122.29680276638824,emergency in zone a,24.0
134132,earthquake felt,2023-01-01 00:53:00,37.158281892320325,-122.04572887458453,earthquake felt,26.0
128980,earthquake felt,2023-01-01 00:54:00,37.19392071953955,-121.97262320833252,earthquake felt,46.0
162918,emergency in Zone A,2023-01-01 00:55:00,37.74617620768926,-122.46399997936491,emergency in zone a,20.0
145901,evacuate Zone C,2023-01-01 00:56:00,37.64672940670864,-121.83608200549108,evacuate zone c,23.0
197730,earthquake felt,2023-01-01 00:57:00,37.37403223506658,-122.38263084326006,earthquake felt,49.0
148681,evacuate Zone C,2023-01-01 00:58:00,37.139836755593024,-121.76095323931663,evacuate zone c,4.0
151224,flood near river,2023-01-01 00:59:00,37.82141700197308,-122.13520460147654,flood near river,38.0
154615,evacuate Zone C,2023-01-01 01:00:00,37.90500873626056,-122.34718289071652,evacuate zone c,40.0
115308,evacuate Zone C,2023-01-01 01:01:00,37.12669261455194,-122.46319278774445,evacuate zone c,9.0
166324,emergency in Zone A,2023-01-01 01:02:00,37.478077660244885,-122.06215418697624,emergency in zone a,33.0
125600,fire in downtown,2023-01-01 01:03:00,37.9280059839624,-121.95950932240086,fire in downtown,34.0
142767,flood near river,2023-01-01 01:04:00,37.98895173716196,-121.92076579512006,flood near river,25.0
189526,emergency in Zone A,2023-01-01 01:05:00,37.485192674984816,-122.39354411121172,emergency in zone a,22.0
176160,earthquake felt,2023-01-01 01:06:00,37.80122901782407,-121.5962726523803,earthquake felt,6.0
157102,emergency in Zone A,2023-01-01 01:07:00,37.9555402928938,-122.2514700262811,emergency in zone a,40.0
145969,fire in downtown,2023-01-01 01:08:00,37.03978608276644,-122.16622646712754,fire in downtown,2.0
139187,evacuate Zone C,2023-01-01 01:09:00,37.061671459669526,-121.61145066138684,evacuate zone c,32.0
125626,earthquake felt,2023-01-01 01:10:00,37.26002908584243,-122.04570823590788,earthquake felt,36.0
174997,evacuate Zone C,2023-01-01 01:11:00,37.0253652100537,-121.87597364004118,evacuate zone c,29.0
195670,evacuate Zone C,2023-01-01 01:12:00,37.39969666822611,-122.33379437300772,evacuate zone c,49.0
193981,evacuate Zone C,2023-01-01 01:13:00,37.82689442350232,-121.93534891778748,evacuate zone c,10.0
149016,earthquake felt,2023-01-01 01:14:00,37.2405920044258,-122.0599116378378,earthquake felt,26.0
151035,fire in downtown,2023-01-01 01:15:00,37.85943389761726,-121.54274078418572,fire in downtown,27.0
133150,evacuate Zone C,2023-01-01 01:16:00,37.55237164680444,-121.6451185563648,evacuate zone c,30.0
147742,fire in downtown,2023-01-01 01:17:00,37.33247025809641,-121.7529451613936,fire in downtown,21.0
175666,evacuate Zone C,2023-01-01 01:18:00,37.64904414641431,-122.06723663449776,evacuate zone c,3.0
157320,earthquake felt,2023-01-01 01:19:00,37.79758444399416,-122.4284815856994,earthquake felt,20.0
192537,flood near river,2023-01-01 01:20:00,37.27458523047959,-122.3972608712089,flood near river,17.0
144286,evacuate Zone C,2023-01-01 01:21:00,37.190408124659946,-122.49075152995604,evacuate zone c,17.0
