business_id,date,revenue_usd,transactions
4755,9/14/28 7:00,8500.70146,59
1200,9/14/28 6:00,5494.920274,82
4600,9/14/28 5:00,3905.100271,3
7334,9/14/28 4:00,4869.31761,58
1368,9/14/28 3:00,6583.719288,65
2029,9/14/28 2:00,6779.437673,95
2692,9/14/28 1:00,6416.925845,7
6644,9/14/28 0:00,6384.697305,86
4991,9/13/28 23:00,8716.049752,26
7334,9/13/28 22:00,3498.62657,85
4660,9/13/28 21:00,8794.581497,19
3533,9/13/28 20:00,2882.474621,2
4193,9/13/28 19:00,8081.143082,50
7121,9/13/28 18:00,1972.670431,35
7654,9/13/28 17:00,6490.457382,4
4993,9/13/28 16:00,1626.621222,57
5023,9/13/28 15:00,4138.931129,50
6505,9/13/28 14:00,2363.108294,91
7342,9/13/28 13:00,4532.20374,6
6025,9/13/28 12:00,5955.52979,4
6713,9/13/28 11:00,9567.682404,57
4556,9/13/28 10:00,201.2703985,20
9316,9/13/28 9:00,7695.21746,21
2978,9/13/28 8:00,6941.498162,34
6159,9/13/28 7:00,6648.604016,93
3561,9/13/28 6:00,543.961954,14
6549,9/13/28 5:00,1116.650211,15
6521,9/13/28 4:00,276.5947649,65
8080,9/13/28 3:00,1810.633,10
7455,9/13/28 2:00,9965.21367,29
6498,9/13/28 1:00,8223.246721,73
5530,9/13/28 0:00,2458.868622,76
7456,9/12/28 23:00,3261.807375,50
9452,9/12/28 22:00,2792.250557,76
9220,9/12/28 21:00,6629.088477,53
3591,9/12/28 20:00,7734.714974,72
2862,9/12/28 19:00,8619.52035,21
5949,9/12/28 18:00,4093.624796,64
8921,9/12/28 17:00,4369.561951,54
4546,9/12/28 16:00,4914.23654,59
9884,9/12/28 15:00,8795.414646,32
9485,9/12/28 14:00,9880.574837,98
9439,9/12/28 13:00,1177.478123,69
3884,9/12/28 12:00,5049.156296,62
6117,9/12/28 11:00,7110.321235,74
1925,9/12/28 10:00,7153.97613,12
1760,9/12/28 9:00,9892.319786,94
1895,9/12/28 8:00,441.4956238,52
2131,9/12/28 7:00,292.536965,46
8411,9/12/28 6:00,2245.103883,77
2646,9/12/28 5:00,1619.484689,97
5343,9/12/28 4:00,7456.668494,24
2601,9/12/28 3:00,5682.877777,21
8841,9/12/28 2:00,6553.471999,83
1615,9/12/28 1:00,1926.351168,28
8267,9/12/28 0:00,8096.319409,15
1108,9/11/28 23:00,9502.888075,2
3647,9/11/28 22:00,8722.186714,2
2712,9/11/28 21:00,5538.647122,18
2023,9/11/28 20:00,4668.317602,52
4238,9/11/28 19:00,7977.721042,74
3349,9/11/28 18:00,7465.5779,94
3144,9/11/28 17:00,2948.777993,45
6487,9/11/28 16:00,8737.429886,32
6013,9/11/28 15:00,5949.203067,50
9552,9/11/28 14:00,3755.966912,98
1520,9/11/28 13:00,466.7123947,76
9436,9/11/28 12:00,2397.972393,46
3295,9/11/28 11:00,8009.821476,65
9446,9/11/28 10:00,8967.972717,20
3635,9/11/28 9:00,1243.359583,81
1512,9/11/28 8:00,7519.460238,37
7065,9/11/28 7:00,3468.19656,72
8543,9/11/28 6:00,3713.685913,65
9172,9/11/28 5:00,7229.623966,4
3591,9/11/28 4:00,3057.062337,66
7025,9/11/28 3:00,7644.041521,51
1910,9/11/28 2:00,7803.184152,5
2224,9/11/28 1:00,7610.063049,26
2146,9/11/28 0:00,852.7666839,11
6484,9/10/28 23:00,3975.649492,82
1178,9/10/28 22:00,8459.523878,19
8038,9/10/28 21:00,6486.354342,45
1324,9/10/28 20:00,2389.31841,50
9761,9/10/28 19:00,4604.479113,32
3129,9/10/28 18:00,932.4966209,47
9792,9/10/28 17:00,527.9624549,9
3581,9/10/28 16:00,679.8086554,52
9118,9/10/28 15:00,1111.063498,9
6791,9/10/28 14:00,3961.663691,29
6179,9/10/28 13:00,5376.862591,62
6362,9/10/28 12:00,4971.815657,3
6462,9/10/28 11:00,3465.728679,7
