sensor_id,timestamp,latitude,longitude,sensor_type,reading_value,status
1657,2023-01-01 00:02:00,37.27222719415702,-121.64590125261932,humidity,24.018218517220035,inactive
1223,2023-01-01 00:03:00,37.00714575084953,-122.1837813603336,temp,19.15747229420606,active
1503,2023-01-01 00:04:00,37.70688952443484,-122.43696827517152,seismic,51.06715854861434,inactive
1724,2023-01-01 00:05:00,37.507471769455,-121.56888398448032,humidity,20.295671977438666,active
1514,2023-01-01 00:07:00,37.60948900283152,-122.27663012320134,flood,30.07021767345461,active
1129,2023-01-01 00:08:00,37.24315398395107,-122.3394651970294,humidity,50.51619119964348,active
1929,2023-01-01 00:09:00,37.50465722092277,-121.67379125101228,seismic,37.22470765555745,inactive
1820,2023-01-01 00:10:00,37.69794546265904,-122.23199857182344,flood,90.88035288146966,inactive
1601,2023-01-01 00:12:00,37.75176491755365,-122.40165010898616,temp,48.97854118617322,inactive
1547,2023-01-01 00:13:00,37.91092329282867,-122.46331630128869,seismic,98.5807254135058,inactive
1750,2023-01-01 00:15:00,37.963195572839865,-122.37682523684288,humidity,44.84684024984607,active
1646,2023-01-01 00:16:00,37.58485285995497,-122.16469123992772,flood,0.6826558212075229,inactive
1008,2023-01-01 00:17:00,37.2808467649298,-121.75714533999148,humidity,7.713270262632732,active
1622,2023-01-01 00:18:00,37.19850308392038,-121.92656022204754,temp,53.17545748421949,inactive
1158,2023-01-01 00:19:00,37.95013606337166,-121.98099606799232,flood,49.43686407114326,active
1610,2023-01-01 00:22:00,37.12865060682628,-122.4750070906493,humidity,12.42421799886252,active
1331,2023-01-01 00:23:00,37.81880744395326,-122.17480348252737,temp,74.11307014922815,active
1515,2023-01-01 00:25:00,37.00700944878537,-121.81441369347638,temp,99.83882172278057,inactive
1788,2023-01-01 00:27:00,37.32756156157001,-122.32492048890968,temp,47.14742372222486,active
1378,2023-01-01 00:28:00,37.9167854262413,-122.2461955218511,humidity,46.58091340821715,active
1299,2023-01-01 00:29:00,37.271122467861765,-121.67628242814602,temp,60.39437825351669,inactive
1227,2023-01-01 00:30:00,37.521603481978254,-122.36406118169856,temp,31.2431409772727,inactive
1317,2023-01-01 00:32:00,37.62495538826192,-121.80420269197664,flood,51.83545840332931,active
1248,2023-01-01 00:33:00,37.90045835040425,-121.72664505496456,humidity,25.224614532441212,inactive
1972,2023-01-01 00:36:00,37.11499209048764,-122.17489875485651,temp,77.4238707624791,inactive
1219,2023-01-01 00:37:00,37.91548860005016,-122.043738576077,humidity,11.332800070363358,active
1664,2023-01-01 00:38:00,37.159806848521605,-121.71424013863658,humidity,0.1243850157642723,inactive
1716,2023-01-01 00:39:00,37.36877954597541,-122.17333984214048,humidity,4.442640376015572,active
1035,2023-01-01 00:41:00,37.26910744488935,-121.9835170572946,temp,51.11650211351117,active
1951,2023-01-01 00:42:00,37.93912028825775,-122.19375297119942,temp,89.92808405654303,active
1682,2023-01-01 00:43:00,37.12147190783055,-122.43859615678798,humidity,40.15134737203279,active
1606,2023-01-01 00:44:00,37.91053238409268,-121.93264536089436,temp,83.09463304249378,active
1964,2023-01-01 00:45:00,37.27589670917602,-122.28393935431686,temp,94.60738223202416,active
1817,2023-01-01 00:46:00,37.300668083658366,-121.93122024508544,humidity,40.115456040046446,active
1563,2023-01-01 00:49:00,37.96615397400191,-121.68735297608757,flood,98.38254448719584,inactive
1115,2023-01-01 00:53:00,37.35362915916088,-121.5874310494082,seismic,73.305360202221,active
1389,2023-01-01 00:54:00,37.019175371898335,-122.2236861974169,temp,79.56815322374585,active
1270,2023-01-01 00:55:00,37.89649368752212,-121.65219378360985,flood,7.498796007968722,inactive
1762,2023-01-01 00:56:00,37.06802262487668,-121.58306501988422,humidity,0.8475881126978946,active
1574,2023-01-01 00:58:00,37.43732088724202,-122.31137459510822,temp,63.85503325241362,active
1519,2023-01-01 00:59:00,37.99534610717501,-121.84940480624832,seismic,15.120893486088216,inactive
1875,2023-01-01 01:00:00,37.69543334417363,-122.31313966693187,seismic,19.257882603190744,active
1605,2023-01-01 01:01:00,37.95405826368829,-122.3778366786032,flood,10.456378938998313,inactive
1384,2023-01-01 01:03:00,37.43750702980949,-121.82744129601224,seismic,98.03460786507394,active
1160,2023-01-01 01:04:00,37.35739691394045,-122.31245278959202,temp,40.29072446347804,active
1423,2023-01-01 01:05:00,37.16485304706927,-121.62281137218469,temp,41.63807908370442,active
