sensor_id,timestamp,latitude,longitude,sensor_type,reading_value,status,date,hour
1657,1/1/23 0:02,37.27222719415702,-121.6459013,humidity,24.018218517220035,inactive,1/1/23,0
1223,1/1/23 0:03,37.00714575084953,-122.1837814,temp,19.15747229420606,active,1/1/23,0
1503,1/1/23 0:04,37.70688952443484,-122.4369683,seismic,51.06715854861434,inactive,1/1/23,0
1724,1/1/23 0:05,37.50747177,-121.568884,humidity,20.295671977438666,active,1/1/23,0
1514,1/1/23 0:07,37.60948900283152,-122.2766301,flood,30.07021767345461,active,1/1/23,0
1129,1/1/23 0:08,37.24315398395107,-122.3394652,humidity,50.51619119964348,active,1/1/23,0
1929,1/1/23 0:09,37.50465722092277,-121.6737913,seismic,37.22470765555745,inactive,1/1/23,0
1820,1/1/23 0:10,37.69794546265904,-122.2319986,flood,90.88035288146966,inactive,1/1/23,0
1601,1/1/23 0:12,37.75176491755365,-122.4016501,temp,48.97854118617322,inactive,1/1/23,0
1547,1/1/23 0:13,37.91092329282867,-122.4633163,seismic,98.58072541,inactive,1/1/23,0
1750,1/1/23 0:15,37.963195572839865,-122.3768252,humidity,44.84684024984607,active,1/1/23,0
1646,1/1/23 0:16,37.58485285995497,-122.1646912,flood,0.6826558212075229,inactive,1/1/23,0
1008,1/1/23 0:17,37.28084676,-121.7571453,humidity,7.713270262632732,active,1/1/23,0
1622,1/1/23 0:18,37.19850308392038,-121.9265602,temp,53.17545748421949,inactive,1/1/23,0
1158,1/1/23 0:19,37.95013606337166,-121.9809961,flood,49.43686407114326,active,1/1/23,0
1610,1/1/23 0:22,37.12865060682628,-122.4750071,humidity,12.42421799886252,active,1/1/23,0
1331,1/1/23 0:23,37.81880744395326,-122.1748035,temp,74.11307014922815,active,1/1/23,0
1515,1/1/23 0:25,37.00700944878537,-121.8144137,temp,99.83882172278057,inactive,1/1/23,0
1788,1/1/23 0:27,37.32756156157001,-122.3249205,temp,47.14742372222486,active,1/1/23,0
1378,1/1/23 0:28,37.91678543,-122.2461955,humidity,46.58091340821715,active,1/1/23,0
1299,1/1/23 0:29,37.271122467861765,-121.6762824,temp,60.39437825351669,inactive,1/1/23,0
1227,1/1/23 0:30,37.521603481978254,-122.3640612,temp,31.24314098,inactive,1/1/23,0
1317,1/1/23 0:32,37.62495538826192,-121.8042027,flood,51.83545840332931,active,1/1/23,0
1248,1/1/23 0:33,37.90045835040425,-121.7266451,humidity,25.22461453244121,inactive,1/1/23,0
1972,1/1/23 0:36,37.11499209048764,-122.1748988,temp,77.42387076,inactive,1/1/23,0
1219,1/1/23 0:37,37.91548860005016,-122.0437386,humidity,11.332800070363358,active,1/1/23,0
1664,1/1/23 0:38,37.159806848521605,-121.7142401,humidity,0.1243850157642723,inactive,1/1/23,0
1716,1/1/23 0:39,37.36877954597541,-122.1733398,humidity,4.442640376015572,active,1/1/23,0
1035,1/1/23 0:41,37.26910744488935,-121.9835171,temp,51.11650211351117,active,1/1/23,0
1951,1/1/23 0:42,37.93912028825775,-122.193753,temp,89.92808405654303,active,1/1/23,0
1682,1/1/23 0:43,37.12147190783055,-122.4385962,humidity,40.15134737203279,active,1/1/23,0
1606,1/1/23 0:44,37.91053238409268,-121.9326454,temp,83.09463304249378,active,1/1/23,0
1964,1/1/23 0:45,37.27589670917602,-122.2839394,temp,94.60738223202416,active,1/1/23,0
1817,1/1/23 0:46,37.300668083658366,-121.9312202,humidity,40.115456040046446,active,1/1/23,0
1563,1/1/23 0:49,37.96615397400191,-121.687353,flood,98.38254448719584,inactive,1/1/23,0
1115,1/1/23 0:53,37.35362915916088,-121.587431,seismic,73.3053602,active,1/1/23,0
1389,1/1/23 0:54,37.019175371898335,-122.2236862,temp,79.56815322374585,active,1/1/23,0
1270,1/1/23 0:55,37.89649368752212,-121.6521938,flood,7.498796007968722,inactive,1/1/23,0
1762,1/1/23 0:56,37.06802262487668,-121.583065,humidity,0.8475881126978946,active,1/1/23,0
1574,1/1/23 0:58,37.43732088724202,-122.3113746,temp,63.85503325241362,active,1/1/23,0
1519,1/1/23 0:59,37.99534610717501,-121.8494048,seismic,15.120893486088216,inactive,1/1/23,0
1875,1/1/23 1:00,37.69543334417363,-122.3131397,seismic,19.257882603190744,active,1/1/23,1
1605,1/1/23 1:01,37.95405826368829,-122.3778367,flood,10.456378938998313,inactive,1/1/23,1
1384,1/1/23 1:03,37.43750702980949,-121.8274413,seismic,98.03460786507394,active,1/1/23,1
1160,1/1/23 1:04,37.35739691394045,-122.3124528,temp,40.29072446347804,active,1/1/23,1
1423,1/1/23 1:05,37.16485304706927,-121.6228114,temp,41.63807908370442,active,1/1/23,1
