sensor_id,timestamp,latitude_sensor,longitude_sensor,sensor_type,reading_value,status,date,hour,zone_id_sensor,user_id,text,latitude_social,longitude_social,clean_text,zone_id_social
,2023-01-01 00:00:00,,,,,,,,,148149,fire in downtown,37.8913256594786,-122.11982266434995,fire in downtown,18.0
,2023-01-01 00:01:00,,,,,,,,,133822,fire in downtown,37.261544591843126,-121.59227895385246,fire in downtown,13.0
1657.0,2023-01-01 00:02:00,37.27222719415702,-121.6459013,humidity,24.018218517220035,inactive,1/1/23,0.0,27.0,117131,emergency in Zone A,37.97616507104156,-122.42566001539146,emergency in zone a,1.0
1223.0,2023-01-01 00:03:00,37.00714575084953,-122.1837814,temp,19.15747229420606,active,1/1/23,0.0,47.0,197271,flood near river,37.21717104489701,-121.74709706431912,flood near river,4.0
1503.0,2023-01-01 00:04:00,37.70688952443484,-122.4369683,seismic,51.06715854861434,inactive,1/1/23,0.0,19.0,105884,earthquake felt,37.8120956599819,-121.62489455016528,earthquake felt,6.0
1724.0,2023-01-01 00:05:00,37.50747177,-121.568884,humidity,20.295671977438666,active,1/1/23,0.0,4.0,139211,flood near river,37.49633235629485,-122.38476010298386,flood near river,22.0
,2023-01-01 00:06:00,,,,,,,,,157358,earthquake felt,37.17594489995982,-122.43435641588547,earthquake felt,39.0
1514.0,2023-01-01 00:07:00,37.60948900283152,-122.2766301,flood,30.07021767345461,active,1/1/23,0.0,44.0,151425,fire in downtown,37.43706505929455,-122.11787144426818,fire in downtown,33.0
1129.0,2023-01-01 00:08:00,37.24315398395107,-122.3394652,humidity,50.51619119964348,active,1/1/23,0.0,2.0,108184,earthquake felt,37.51900273117788,-122.05361879794476,earthquake felt,33.0
1929.0,2023-01-01 00:09:00,37.50465722092277,-121.6737913,seismic,37.22470765555745,inactive,1/1/23,0.0,28.0,194832,flood near river,37.92592775929877,-122.01158923289584,flood near river,34.0
1820.0,2023-01-01 00:10:00,37.69794546265904,-122.2319986,flood,90.88035288146966,inactive,1/1/23,0.0,20.0,171655,fire in downtown,37.79232014620062,-122.49393232551762,fire in downtown,20.0
,2023-01-01 00:11:00,,,,,,,,,103697,flood near river,37.32826329441161,-122.16898837856374,flood near river,5.0
1601.0,2023-01-01 00:12:00,37.75176491755365,-122.4016501,temp,48.97854118617322,inactive,1/1/23,0.0,19.0,130209,emergency in Zone A,37.39916286634253,-121.5359253139827,emergency in zone a,44.0
1547.0,2023-01-01 00:13:00,37.91092329282867,-122.4633163,seismic,98.58072541,inactive,1/1/23,0.0,41.0,116583,fire in downtown,37.93748832906616,-122.27158770230795,fire in downtown,40.0
,2023-01-01 00:14:00,,,,,,,,,125719,evacuate Zone C,37.04900504297369,-122.1125318675551,evacuate zone c,2.0
1750.0,2023-01-01 00:15:00,37.963195572839865,-122.3768252,humidity,44.84684024984607,active,1/1/23,0.0,15.0,196590,evacuate Zone C,37.1166812400425,-121.9669071161223,evacuate zone c,14.0
1646.0,2023-01-01 00:16:00,37.58485285995497,-122.1646912,flood,0.6826558212075229,inactive,1/1/23,0.0,34.0,122730,flood near river,37.13297492855434,-121.93479715356446,flood near river,46.0
1008.0,2023-01-01 00:17:00,37.28084676,-121.7571453,humidity,7.713270262632732,active,1/1/23,0.0,18.0,195819,emergency in Zone A,37.27017124687063,-121.80678670993169,emergency in zone a,28.0
